"Student ID",1,2,3,4,5,6,7
118221,0,0,0,1,0,0,0
122713,2,3,3,7,3,3,7
124551,1,1,4,6,3,6,7
148597,4,3,8,7,2,2,2
152976,3,3,5,5,2,6,4
159185,2,7,4,3,2,1,6
159672,2,2,6,4,2,5,7
167008,5,1,7,6,4,2,3
167543,2,0,5,5,4,6,6
174730,0,4,5,5,2,7,5
177700,3,5,7,7,2,4,0
777777,6,1,1,1,3,0,2
888888,7,5,3,4,5,1,3
999999,8,5,3,3,5,1,3
